NaCl_1hour	NaCl_24hours
-0.639181047	-0.35038756
-0.639196446	-0.350627855
-0.640278458	-0.351285535
-0.64046569	-0.351354057
-0.64101469	-0.351557634
-0.641660396	-0.35201994
-0.642056419	-0.3532395
-0.642853751	-0.353952076
-0.643633027	-0.355466543
-0.643642288	-0.35670605
-0.644303321	-0.357165275
-0.645290927	-0.357534662
-0.64793624	-0.357712442
-0.651792793	-0.357720339
-0.655036008	-0.35853485
-0.655061644	-0.359702725
-0.655067315	-0.359706971
-0.656384673	-0.361099703
-0.656911747	-0.361180542
-0.657493248	-0.361980612
-0.66134775	-0.362182545
-0.661562991	-0.362417706
-0.662789031	-0.362953214
-0.663102502	-0.363557069
-0.664382154	-0.364036301
-0.66501412	-0.365004832
-0.66546626	-0.365543863
-0.667829131	-0.365699444
-0.668382139	-0.366545604
-0.668815317	-0.367310522
-0.668963945	-0.367383993
-0.670161044	-0.367452021
-0.670172311	-0.36755716
-0.672224002	-0.368570715
-0.674470589	-0.368613066
-0.674971737	-0.368813038
-0.675578641	-0.369848292
-0.677246425	-0.370251153
-0.679184159	-0.370940165
-0.683949612	-0.372384365
-0.684289587	-0.372599924
-0.684823194	-0.374020954
-0.687565335	-0.374789823
-0.689483785	-0.375123654
-0.691577778	-0.375296413
-0.693267669	-0.375947503
-0.693283336	-0.376027323
-0.693754585	-0.378470977
-0.694428119	-0.378561388
-0.69647779	-0.37921716
-0.696786893	-0.37928984
-0.697821522	-0.379619167
-0.69883614	-0.379893074
-0.700321578	-0.381056804
-0.700598974	-0.381820039
-0.703517952	-0.382038297
-0.704615062	-0.382059823
-0.706706062	-0.382437659
-0.707127003	-0.382823715
-0.707623242	-0.382828436
-0.710425365	-0.383050087
-0.711405393	-0.384355722
-0.712214106	-0.384782536
-0.71334738	-0.384805239
-0.714932152	-0.385002359
-0.715514512	-0.386023294
-0.716152609	-0.386137682
-0.716453355	-0.386544561
-0.716629811	-0.386654314
-0.717601712	-0.386844458
-0.719815138	-0.387247847
-0.722243125	-0.387513879
-0.722252952	-0.38756553
-0.722317569	-0.388448602
-0.723300816	-0.389655588
-0.725008425	-0.390011242
-0.726577208	-0.390391353
-0.726962266	-0.391297493
-0.727873929	-0.391704541
-0.728342317	-0.391972412
-0.729145498	-0.392268452
-0.732007647	-0.392470483
-0.733113458	-0.393133658
-0.733542401	-0.393473112
-0.735722097	-0.393550155
-0.736058546	-0.393622336
-0.736107783	-0.393637968
-0.737197021	-0.393639462
-0.737624307	-0.393648937
-0.739116055	-0.393663848
-0.744423301	-0.39367282
-0.745906237	-0.393679474
-0.747785323	-0.393682923
-0.7506299	-0.393688559
-0.753794677	-0.393692451
-0.754633107	-0.393696309
-0.754649659	-0.393698919
-0.754666923	-0.393724886
-0.754672497	-0.393756261
-0.754673092	-0.393824463
-0.758541434	-0.393832204
-0.760176955	-0.395195033
-0.764466373	-0.395565175
-0.764661333	-0.395893691
-0.766301956	-0.396003582
-0.766359636	-0.396414397
-0.7671632	-0.39695577
-0.770136767	-0.397044504
-0.771134256	-0.397163416
-0.773570554	-0.397581944
-0.775427666	-0.398501834
-0.776696524	-0.39924197
-0.778676237	-0.39966746
-0.780925238	-0.400003038
-0.781991157	-0.400252887
-0.78202378	-0.401118853
-0.78236321	-0.401186367
-0.782404751	-0.401325705
-0.782637573	-0.401501388
-0.782643484	-0.401554352
-0.783526093	-0.402234975
-0.785018167	-0.402478434
-0.785291779	-0.402486645
-0.787076236	-0.402532946
-0.787814184	-0.402880039
-0.788066595	-0.405433583
-0.790096077	-0.405476738
-0.79131635	-0.40582197
-0.791386624	-0.406407882
-0.793113635	-0.406880857
-0.793591372	-0.407070818
-0.793593846	-0.407202155
-0.794998039	-0.407366966
-0.795328472	-0.407996261
-0.796263112	-0.40863657
-0.797666101	-0.408706209
-0.800489212	-0.409089056
-0.801954934	-0.409166615
-0.802954559	-0.409176537
-0.803386957	-0.409270854
-0.804271388	-0.40945688
-0.804311826	-0.409624432
-0.80690352	-0.409716579
-0.807021004	-0.409993816
-0.807146016	-0.410124083
-0.807727065	-0.410415857
-0.808201918	-0.411542547
-0.810430913	-0.412308829
-0.810433494	-0.412648301
-0.81260459	-0.412687941
-0.813015972	-0.412855109
-0.813968198	-0.412957544
-0.8143055	-0.41456603
-0.815522217	-0.414701481
-0.821679385	-0.415793622
-0.82177666	-0.415939725
-0.821811442	-0.415975042
-0.821831579	-0.416268401
-0.822263441	-0.416472467
-0.82580727	-0.416509981
-0.827145377	-0.416998789
-0.832665253	-0.41726047
-0.835066458	-0.417823295
-0.835287358	-0.417919111
-0.836209785	-0.417938526
-0.836407614	-0.418214951
-0.836655841	-0.418502591
-0.837827955	-0.418810688
-0.839272116	-0.419058905
-0.840628169	-0.419222449
-0.847774692	-0.419254033
-0.84780411	-0.419301999
-0.847908698	-0.420444623
-0.848159473	-0.420647806
-0.849011635	-0.420917018
-0.854841648	-0.421181078
-0.855288173	-0.421228715
-0.855623151	-0.422228959
-0.859284503	-0.422259356
-0.861585819	-0.422537284
-0.861921092	-0.422614395
-0.864201725	-0.422809656
-0.864611896	-0.423090368
-0.865444937	-0.423143062
-0.865958486	-0.423837956
-0.867145744	-0.423912642
-0.867267284	-0.424014525
-0.869332615	-0.424083132
-0.870316739	-0.424333791
-0.87050314	-0.424704996
-0.870608173	-0.424907394
-0.87061881	-0.425017102
-0.871402652	-0.425703151
-0.872001264	-0.425719917
-0.874894981	-0.42613137
-0.875475763	-0.426706613
-0.878914487	-0.42721681
-0.880045354	-0.427628223
-0.880074385	-0.428100817
-0.881474608	-0.428521616
-0.882434982	-0.429331288
-0.882755782	-0.429603136
-0.883395604	-0.42977949
-0.886895105	-0.429966279
-0.888627769	-0.430512309
-0.889084351	-0.43059982
-0.889594846	-0.430630355
-0.889598542	-0.430646076
-0.889765775	-0.431827607
-0.89214352	-0.432122031
-0.892314266	-0.432154803
-0.892687562	-0.432327225
-0.894071685	-0.432707409
-0.894166129	-0.433151302
-0.894692367	-0.434500896
-0.896574662	-0.436276719
-0.89686023	-0.436339441
-0.897664437	-0.436855003
-0.901792943	-0.436942039
-0.903191446	-0.43740086
-0.903334923	-0.437544186
-0.906663203	-0.437600694
-0.906670868	-0.438623826
-0.906674225	-0.439859794
-0.909465485	-0.44008116
-0.910645394	-0.440348548
-0.912391384	-0.441155085
-0.915295073	-0.441513158
-0.916160944	-0.441522861
-0.91659385	-0.441803371
-0.916796509	-0.44182844
-0.91680026	-0.442024586
-0.918714654	-0.442071065
-0.91936899	-0.442743585
-0.919842833	-0.443988873
-0.919842833	-0.444021059
-0.920356605	-0.444196837
-0.924618701	-0.444429788
-0.928365127	-0.444782955
-0.928701095	-0.445221917
-0.928730137	-0.445623368
-0.929275347	-0.446613194
-0.929968414	-0.447291361
-0.931053296	-0.448029884
-0.932830733	-0.448098004
-0.933424358	-0.448437772
-0.933643966	-0.448526344
-0.933994491	-0.448592779
-0.934495586	-0.449196132
-0.934937482	-0.449525028
-0.934989225	-0.449755031
-0.935252327	-0.451102274
-0.935922058	-0.451394187
-0.937131014	-0.451405368
-0.938390075	-0.451818516
-0.938677887	-0.451926237
-0.939855833	-0.452899039
-0.942941512	-0.452979395
-0.943771778	-0.452986763
-0.94507396	-0.45303776
-0.947301734	-0.45568486
-0.947306661	-0.456081761
-0.947367552	-0.456428587
-0.949027432	-0.456775491
-0.949068509	-0.457289013
-0.952321636	-0.457742613
-0.95263756	-0.45776548
-0.953094733	-0.458558224
-0.955559659	-0.458607124
